                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1985,                 4.5539,                 4.2027,                0.00134,                0.35808,                0.00385,                 0.0008,                 3.1124,                 4.1752,                 4.0341,               0.070221,              0.0033088,              0.0033088
                      1,                 3.0798,                 4.0759,                  3.888,                0.27135,                0.23804,                 0.0218,                0.00441,                 3.0305,                 18.421,                 4.3951,               0.040177,              0.0065983,              0.0065983
                      2,                 2.6686,                  3.413,                 3.3656,                0.64689,                0.04178,                0.01685,                0.00381,                 2.8988,                 5.7894,                  3.444,               0.010089,              0.0098438,              0.0098438
                      3,                 2.2326,                  2.964,                 2.8566,                0.17941,                0.35003,                 0.2164,                0.06817,                 2.1702,                 3.8299,                 2.8805,               0.009802,               0.009802,               0.009802
                      4,                 1.9256,                 2.5159,                 2.4897,                0.41251,                0.45421,                0.41083,                0.20195,                 1.9667,                 2.4799,                 2.5645,               0.009802,               0.009802,               0.009802
                      5,                 1.7621,                  2.245,                 2.2675,                0.52747,                0.56648,                0.53531,                0.26582,                 1.7942,                 2.0507,                 2.3985,               0.009736,               0.009736,               0.009736
                      6,                 1.6618,                 2.0614,                 2.1258,                 0.5268,                 0.5457,                0.56491,                0.30386,                 1.7424,                 1.8632,                 2.3853,                0.00967,                0.00967,                0.00967
                      7,                 1.5663,                 1.9009,                 2.0265,                0.49735,                0.57415,                0.57287,                0.29749,                 1.6592,                 2.4753,                 2.2861,               0.009604,               0.009604,               0.009604
                      8,                 1.5342,                 1.8071,                 1.9702,                0.67752,                0.57814,                0.66507,                0.40013,                 1.5458,                 1.7471,                 2.1144,               0.009538,               0.009538,               0.009538
                      9,                 1.4814,                  1.685,                 1.8968,                0.62727,                0.72067,                0.64683,                0.36517,                 1.6106,                 1.7693,                 2.1882,               0.009472,               0.009472,               0.009472
                     10,                 1.4489,                 1.6304,                 1.8525,                0.67968,                0.70783,                0.71568,                0.42568,                 1.5328,                 1.5405,                  2.069,               0.009406,               0.009406,               0.009406
                     11,                 1.3891,                 1.5275,                 1.7903,                0.76289,                0.69785,                0.77141,                0.47875,                 1.4763,                 1.4643,                 2.0175,                0.00934,                0.00934,                0.00934
                     12,                 1.3632,                 1.4829,                 1.7618,                0.74283,                0.75647,                0.76062,                0.45943,                 1.4956,                 1.3728,                 2.0181,               0.009274,               0.009274,               0.009274
                     13,                  1.361,                 1.4788,                 1.7645,                0.80256,                0.72158,                0.76804,                0.47795,                  1.431,                 1.3265,                 1.9627,               0.009208,               0.009208,               0.009208
                     14,                 1.3241,                 1.3882,                 1.7319,                0.75757,                0.73605,                0.76669,                 0.4961,                 1.4086,                 1.4143,                 1.9395,               0.009142,               0.009142,               0.009142
                     15,                 1.3005,                 1.3591,                 1.6963,                0.77651,                0.81272,                 0.8085,                0.53691,                 1.3914,                 1.2825,                 1.9372,               0.009076,               0.009076,               0.009076
                     16,                  1.283,                 1.3174,                 1.6827,                 0.8282,                0.75941,                0.78035,                0.49009,                 1.4337,                 1.2206,                 1.8995,                0.00901,                0.00901,                0.00901
                     17,                 1.2641,                  1.295,                 1.6598,                 0.7801,                0.74373,                0.81163,                0.53416,                 1.3413,                 1.1568,                 1.8454,               0.008944,               0.008944,               0.008944
                     18,                 1.2585,                 1.2576,                 1.6526,                0.81568,                 0.7871,                0.83836,                0.57625,                 1.2798,                 1.1161,                 1.8021,               0.008878,               0.008878,               0.008878
                     19,                 1.2464,                 1.2339,                 1.6289,                0.76232,                0.75779,                 0.7622,                0.50034,                  1.358,                 1.1772,                 1.8559,               0.008812,               0.008812,               0.008812
                     20,                 1.2269,                  1.223,                 1.6128,                0.79805,                0.74131,                0.82612,                0.58713,                 1.2455,                 1.0981,                 1.7657,               0.008746,               0.008746,               0.008746
                     21,                 1.2187,                 1.1802,                 1.6026,                0.73146,                0.82636,                0.81245,                0.57593,                 1.2261,                  1.064,                 1.7367,                0.00868,                0.00868,                0.00868
                     22,                 1.2135,                 1.1922,                 1.5896,                0.84485,                0.68938,                0.81895,                0.58538,                 1.2076,                 1.0304,                 1.7468,               0.008614,               0.008614,               0.008614
                     23,                 1.1827,                 1.1403,                 1.5638,                0.80302,                0.77678,                0.83876,                0.59666,                 1.2213,                 1.0038,                   1.74,               0.008548,               0.008548,               0.008548
                     24,                 1.2039,                 1.1518,                 1.5691,                0.87799,                0.75284,                0.83876,                0.59573,                 1.2299,                 1.0238,                 1.7371,               0.008482,               0.008482,               0.008482
                     25,                 1.1804,                 1.1139,                 1.5447,                 0.8334,                0.80436,                0.85017,                0.61621,                 1.1858,                0.96681,                 1.7112,               0.008416,               0.008416,               0.008416
                     26,                 1.1596,                 1.0969,                 1.5419,                0.77996,                0.84051,                0.84285,                0.59245,                 1.3017,                0.99455,                 1.7961,                0.00835,                0.00835,                0.00835
                     27,                 1.1558,                 1.0909,                 1.5337,                0.78049,                0.81688,                0.83267,                0.59779,                 1.2517,                 1.0317,                 1.7517,               0.008284,               0.008284,               0.008284
                     28,                  1.163,                 1.0866,                 1.5407,                0.78141,                0.81302,                0.83865,                0.59577,                 1.2218,                 1.0263,                  1.731,               0.008218,               0.008218,               0.008218
                     29,                 1.1289,                 1.0546,                 1.5202,                0.77594,                0.83375,                0.85478,                 0.6278,                 1.1705,                0.94567,                 1.6703,               0.008152,               0.008152,               0.008152
                     30,                 1.1361,                 1.0502,                 1.5241,                0.84058,                0.80781,                0.84899,                0.61322,                  1.253,                0.96691,                 1.7642,               0.008086,               0.008086,               0.008086
                     31,                 1.1165,                 1.0284,                 1.5065,                0.84355,                0.82737,                0.86051,                0.62521,                 1.1889,                0.93849,                 1.6742,                0.00802,                0.00802,                0.00802
                     32,                 1.1206,                 1.0149,                 1.4979,                0.87692,                0.71154,                0.84858,                0.60011,                 1.2481,                 1.0116,                 1.7483,               0.007954,               0.007954,               0.007954
                     33,                 1.1238,                 1.0279,                  1.506,                0.85131,                 0.8385,                0.86577,                0.63657,                 1.1718,                0.89894,                 1.6696,               0.007888,               0.007888,               0.007888
                     34,                 1.1074,                0.99892,                 1.4872,                0.85405,                0.81143,                0.85584,                0.63309,                 1.1495,                 0.9202,                 1.6555,               0.007822,               0.007822,               0.007822
                     35,                  1.085,                0.99786,                 1.4765,                0.87906,                0.83239,                   0.85,                0.59024,                 1.2468,                0.93669,                 1.7534,               0.007756,               0.007756,               0.007756
                     36,                 1.0961,                0.98919,                 1.4873,                0.84418,                0.84055,                0.86036,                0.60707,                   1.24,                0.94403,                 1.7578,                0.00769,                0.00769,                0.00769
                     37,                 1.0871,                 0.9869,                 1.4734,                 0.8683,                0.82084,                0.85458,                0.63179,                  1.161,                0.92193,                 1.6709,               0.007624,               0.007624,               0.007624
                     38,                 1.0922,                0.99338,                 1.4769,                0.85382,                0.83789,                0.86743,                0.61925,                 1.1985,                0.88915,                  1.694,               0.007558,               0.007558,               0.007558
                     39,                 1.0674,                0.96206,                 1.4588,                0.86075,                0.81145,                0.85707,                0.63885,                 1.1428,                0.88165,                 1.6277,               0.007492,               0.007492,               0.007492
                     40,                 1.0756,                0.98052,                 1.4645,                0.87591,                0.81335,                 0.8698,                0.63726,                 1.1667,                0.87342,                 1.6447,               0.007426,               0.007426,               0.007426
                     41,                 1.0658,                0.94563,                  1.457,                0.81983,                0.82751,                0.85877,                0.64844,                 1.1197,                0.87436,                 1.6191,                0.00736,                0.00736,                0.00736
                     42,                 1.0579,                0.93017,                 1.4491,                 0.8537,                0.81799,                0.86605,                0.62304,                 1.1881,                0.88721,                 1.6681,               0.007294,               0.007294,               0.007294
                     43,                 1.0456,                0.91328,                 1.4261,                0.86929,                0.80434,                0.85318,                0.61893,                 1.2122,                0.94305,                 1.6987,               0.007228,               0.007228,               0.007228
                     44,                 1.0556,                0.94029,                 1.4361,                0.89004,                0.81558,                 0.8741,                0.65547,                 1.1208,                0.84556,                 1.5983,               0.007162,               0.007162,               0.007162
                     45,                 1.0598,                0.92354,                 1.4428,                0.86416,                0.77616,                0.86979,                  0.648,                 1.1391,                0.89516,                  1.632,               0.007096,               0.007096,               0.007096
                     46,                 1.0522,                0.91626,                 1.4385,                 0.8344,                0.83593,                0.86624,                0.65757,                 1.0876,                0.87976,                 1.5982,                0.00703,                0.00703,                0.00703
                     47,                 1.0492,                0.92191,                 1.4387,                0.86718,                0.79764,                0.86758,                0.65404,                 1.1562,                0.86488,                 1.6384,               0.006964,               0.006964,               0.006964
                     48,                 1.0298,                0.88849,                 1.4224,                0.87793,                0.81796,                0.87624,                0.65993,                 1.0907,                0.82344,                 1.5799,               0.006898,               0.006898,               0.006898
                     49,                 1.0193,                0.90807,                 1.4119,                0.85918,                0.85369,                0.87283,                0.66078,                 1.1151,                0.82514,                 1.6184,               0.006832,               0.006832,               0.006832
